scenario,category,testName,userPrompt,Assert1,Assert2,Assert3,Assert4,Assert5,Assert6,Assert7,Assert8,Assert9,tags,relativeFilePathFromEvals
na,core,Add two column section to the page,Add a two column section to the page,Expected 1 section(s) with 1 column(s),Expected 1 section(s) with 2 column(s),,,,,,,,SharePointPage pr section,sections/section-pr-tests.json
na,core,Change section emphasis to none,Remove the background emphasis from this section,first section should exist,Should not find any matching elements,,,,,,,,SharePointPage pr section,sections/section-pr-tests.json
na,core,Duplicate a section,Duplicate the current section on the page,Expected 2 section(s) with 3 column(s),,,,,,,,,SharePointPage pr section,sections/section-pr-tests.json
na,core,Add three column section to the page,Add a three column section to the page,Expected 1 section(s) with 1 column(s),Expected 1 section(s) with 3 column(s),Page should contain exactly 1 Text web part,,,,,,,SharePointPage section,sections/section-tests-core.json
na,core,Change single column to 2 columns,Change the section from one column to 2 columns,Expected 0 section(s) with 1 column(s),Expected 1 section(s) with 2 column(s),Page should contain exactly 1 Text web part,,,,,,,SharePointPage section,sections/section-tests-core.json
na,core,Change section alignment to top,Align the content in this section to the top,Should find exactly 1 matching element,,,,,,,,,SharePointPage section,sections/section-tests-core.json
na,core,Change two columns to three columns,Convert this two column section into three columns,Expected 0 section(s) with 2 column(s),Expected 1 section(s) with 3 column(s),,,,,,,,SharePointPage section,sections/section-tests-core.json
na,core,Change three columns to single column,Change this three column section into a single column,Expected 0 section(s) with 3 column(s),Should find exactly 6 matching elements,,,,,,,,SharePointPage section,sections/section-tests-core.json
na,core,Add a section background,Add a new section with subtle background,Should find exactly 2 matching elements,Expected 1 section(s) with 3 column(s),Should find exactly 1 matching element,,,,,,,SharePointPage section,sections/section-tests-core.json
na,core,Add People web part into first column of two-column section,Add a People web part to the left column of the two column section and Rich Text Editor to the right column,Expected 1 section(s) with 2 column(s),Page should contain exactly 1 People web part,Page should contain exactly 1 Text web part,,,,,,,SharePointPage section,sections/section-tests-core.json
na,core,Add multiple controls into a single column,Add an single column section with an image and a text web part,Expected 2 section(s) with 1 column(s),Page should contain exactly 1 Image web part,Page should contain exactly 1 Text web part,,,,,,,SharePointPage section,sections/section-tests-core.json
na,core,Move control between columns,Move the web part from the left column to the right column,Expected 1 section(s) with 2 column(s),Page should contain exactly 1 Text web part,Page should not contain any Text web part,,,,,,,SharePointPage section,sections/section-tests-core.json
na,core,Add one column section to the page,Add a one column section to the page,Should find exactly 2 matching elements,Expected 2 section(s) with 1 column(s),,,,,,,,SharePointPage section,sections/section-tests-core.json
na,core,Add full width section to the page,Add a full width section to the page,Should find exactly 2 matching elements,Should find exactly 1 matching element,,,,,,,,SharePointPage section,sections/section-tests-core.json
na,core,Remove a section from the page,Remove the last section from the page,Expected 0 section(s) with 3 column(s),Expected 2 section(s) with 1 column(s),,,,,,,,SharePointPage section,sections/section-tests-core.json
na,type1,Add one column section at the top of the page,Add a one-column section at the top of the page,The first section must have exactly 1 column,"The total number of sections must increase by 1

",,,,,,,,SharePointPage section,sections/section-type-1-tests.json
na,type1,Add two column section at the bottom of the page,Add a-two column section at the bottom of the page,Page must contain a new section at the bottom of the page,The last section must have exactly 2 columns,The total number of sections must increase by 1,,,,,,,SharePointPage section,sections/section-type-1-tests.json
na,type1,Change first section to three columns,Change the first section to have three columns,The first section must have exactly 3 columns,,,,,,,,,SharePointPage section,sections/section-type-1-tests.json
na,type1,Set second section emphasis to Strong,Set the second section's background emphasis to Strong,The second section must have background emphasis set to Strong,,,,,,,,,SharePointPage section,sections/section-type-1-tests.json
na,type1,Set section alignment to center,Set the content alignment to center for the first section,The first section must have content alignment set to center,,,,,,,,,SharePointPage section,sections/section-type-1-tests.json
na,type1,Set section alignment to bottom,Align the content in the first section to the bottom,The first section must have vertical content alignment set to bottom,,,,,,,,,SharePointPage section,sections/section-type-1-tests.json
na,type1,Delete the second section,Delete the second section from the page,The total number of sections must decrease by 1,"Remaining sections must preserve their original order

",The second section on the page must be deleted,,,,,,,SharePointPage section,sections/section-type-1-tests.json
na,type1,Add section with Neutral emphasis,Add a new one-column section with Neutral background emphasis,The page must contain a new section,The new section must have exactly 1 column,The new section must have background emphasis set to Neutral,The total number of sections must increase by 1,,,,,,SharePointPage section,sections/section-type-1-tests.json
na,type1,Change section to one-third left column layout,Change the first section to have a one-third left column layout,The total number of sections must remain unchanged,The first section must have a two-column layout with a one-third width column on the left,,,,,,,,SharePointPage section,sections/section-type-1-tests.json
na,type1,Change section to one-third right column layout,Change the first section to have a one-third right column layout,The first section must have a two-column layout with a one-third width column on the right,The total number of sections must remain unchanged,,,,,,,,SharePointPage section,sections/section-type-1-tests.json
na,type1,Make section collapsible with title,Make the first section a collapsible section and set the collapse title to 'Details',The first section must be set as a collapsible section,"The collapse title for the first section must be ""Details""
",,,,,,,,SharePointPage section,sections/section-type-1-tests.json
na,type1,Add full width section with Strong emphasis,Add a full width section with Strong background emphasis at the top,The page must contain a new section at the top of the page,"The new section must be set to full width
","The new section must have background emphasis set to Strong
",The total number of sections must increase by 1,,,,,,SharePointPage section,sections/section-type-1-tests.json
na,type2,Add section below selected section,Add another section,Should find exactly 2 matching elements,,,,,,,,,SharePointPage section,sections/section-type-2-tests.json
na,type2,Add section to populated page,Add another section,Should find exactly 3 matching elements,,,,,,,,,SharePointPage section,sections/section-type-2-tests.json
na,type2,Change selected section to one column,Change the section to one column,Should find exactly 1 matching element,,,,,,,,,SharePointPage section,sections/section-type-2-tests.json
na,type2,Change top section to one column on populated page,Change the top section to be one column not two,Should find exactly 1 matching element,,,,,,,,,SharePointPage section,sections/section-type-2-tests.json
na,type2,Change section to two columns on populated page,Change the section to be two columns,Should find exactly 1 matching element,,,,,,,,,SharePointPage section,sections/section-type-2-tests.json
na,type2,Duplicate section from selected section,Create a duplicate section from the above section,Should find exactly 2 matching elements,Page should contain exactly 4 Text web part(s),,,,,,,,SharePointPage section,sections/section-type-2-tests.json
na,type2,Duplicate section on populated page,Create a duplicate section from the above section,Should find exactly 3 matching elements,Page should contain exactly 5 Text web part(s),,,,,,,,SharePointPage section,sections/section-type-2-tests.json
na,type2,Change two column section to narrow right column,Change this two column section to use the one-third right column layout where the right column is narrower,Should find exactly 1 matching element,Should find exactly 2 matching elements,,,,,,,,SharePointPage section,sections/section-type-2-tests.json
na,type2,Change two column section to narrow left column,Change this two column section so the left column is narrower than the right,Should find exactly 1 matching element,Should find exactly 2 matching elements,,,,,,,,SharePointPage section,sections/section-type-2-tests.json
na,type2,Normalize one-third layout back to two equal columns,Make the columns equal width again (standard two columns),Should find exactly 1 matching element,,,,,,,,,SharePointPage section,sections/section-type-2-tests.json
na,type2,Move a web part from one section to another,Move the 'Project Details' text web part into the 'Overview' section,Should find exactly 4 matching elements,Page should not contain any Text web part,,,,,,,,SharePointPage section,sections/section-type-2-tests.json
na,type3,Add intro content to top section,Add a welcome message and team mission statement to the top section of the page,Page should contain exactly 1 Text web part,Text web part content should contain headings,,,,,,,,SharePointPage section,sections/section-type-3-tests.json
na,type3,Add hero banner to second section,Add an eye-catching hero with featured highlights to the second section,Should find exactly 1 matching element,,,,,,,,,SharePointPage section,sections/section-type-3-tests.json
na,type3,Add visual content to first column,Add a spring flower stock image to the first column of the section,Should find exactly 1 matching element,,,,,,,,,SharePointPage section,sections/section-type-3-tests.json
na,type3,Add call-to-action to bottom section,Add a promotional call-to-action 'Learn more' button linking to /learn-more in the bottom section to drive engagement,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,,,,,,SharePointPage section,sections/section-type-3-tests.json
na,type3,Add links to vertical section,"Add links to /benefits, /payroll, and /time-off in the vertical section for HR navigation",Should find exactly 1 matching element,Assertion should pass,,,,,,,,SharePointPage section,sections/section-type-3-tests.json
na,type3,Fill empty right column with contact info,Fill the empty right column with team contact information and people web part showing key team members,Page should contain exactly 1 People web part,Page should contain exactly 1 People web part,Page should contain exactly 1 Text web part,Text web part content should contain headings,,,,,,SharePointPage section,sections/section-type-3-tests.json
na,type3,Add countdown to first section,"Add a countdown timer to the first section for our product launch on August 15, 2047 at 10:00 AM with a 'Register Now' button linking to /register",Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,,,,,SharePointPage section,sections/section-type-3-tests.json
na,type3,Add a summary section at the end,Add a summary section at the end of the page with a brief recap paragraph,Should find exactly 4 matching elements,Page should contain exactly 1 Text web part,Text web part content should contain headings,,,,,,,SharePointPage section,sections/section-type-3-tests.json
na,type4,Reorder sections into logical flow,Make this page look better by arranging the sections into a more logical order,Should find exactly 4 matching elements,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Text web part,Page should contain exactly 1 Text web part,Page should contain exactly 1 Text web part,,,,,SharePointPage section,sections/section-type-4-tests.json
na,type4,Create hero and thematic sections,Make this article feel like a polished landing page by adding a full-width hero section at the top and splitting the rest into separate 'Core Values' and 'Employee Testimonials' sections with clear headings,The page must include a full‑width hero section at the top.,The page must include a visible section titled Core Values.,The page must include a visible section titled Employee Testimonials.,"The page must present content in a landing‑page layout, not article body text.",The page must include a concise headline in the hero section that communicates the page theme.,The page must use consistent section formatting across all major sections.,,,,SharePointPage section,sections/section-type-4-tests.json
na,type4,Add vertical quick links sidebar,"Turn this into an overview page with a right-hand vertical sidebar surfaces links to Product Documentation, Support Team, Privacy Policy, and Terms of Service using relative URLs /docs, /support, /privacy, and /terms",The page must include a right‑hand vertical sidebar.,"The sidebar must surface links to Product Documentation, Support Team, Privacy Policy, and Terms of Service.","The sidebar links must use relative URLs /docs, /support, /privacy, and /terms.",The page must not place these links only within body paragraphs.,The sidebar must be visually distinct from the main content area.,Each sidebar link label must clearly match its destination topic.,,,,SharePointPage section,sections/section-type-4-tests.json
na,core,Add multiple controls and maintain vertical order,"Add a vertical section with a Rich Text Editor, then add an Image, then add a People web part to the same vertical section",Should find exactly 3 matching elements,web part at first position should be Text web part,web part at second position should be Image web part,web part at third position should be People web part,,,,,,SharePointPage section vertical,sections/vertical-section-core-tests.json
na,core,Move Image to top of vertical section,Move the Image web part in the vertical section to the top position,web part at first position should be Image web part,,,,,,,,,SharePointPage section vertical,sections/vertical-section-core-tests.json
na,core,Remove RTE from vertical section,Remove the Rich Text Editor web part from the vertical section,Page should not contain any Text web part,,,,,,,,,SharePointPage section vertical,sections/vertical-section-core-tests.json
na,core,Add two images into vertical section,Add two image web parts to the vertical section,Page should contain exactly 3 Image web part(s),,,,,,,,,SharePointPage section vertical,sections/vertical-section-core-tests.json
na,core,Add decorative image,Add decorative image to vertical section,Page should contain exactly 1 Image web part,,,,,,,,,SharePointPage section vertical,sections/vertical-section-core-tests.json
na,core,Add People with groupName and verify by headline,Add People web part to vertical section titled 'Executive Leadership',Page should contain exactly 1 People web part,Page should contain exactly 1 People web part,,,,,,,,SharePointPage section vertical,sections/vertical-section-core-tests.json
na,core,Add Button to vertical section (TODO: Remove CallToActionWebPart when ButtonWebPart is supported),Add a Button web part to the vertical section with text 'Learn More',Should find exactly 1 matching element,Should find exactly 1 matching element,,,,,,,,SharePointPage section vertical,sections/vertical-section-core-tests.json
na,core,Add Spacer to vertical section,Add a Spacer web part to the vertical section,Page should contain exactly 1 Spacer web part,,,,,,,,,SharePointPage section vertical,sections/vertical-section-core-tests.json
na,core,Add Divider to vertical section,Add a Divider web part to the vertical section,Page should contain exactly 1 DividerWebPart web part,,,,,,,,,SharePointPage section vertical,sections/vertical-section-core-tests.json
na,core,Move web part from vertical section to regular section,Move the Rich Text Editor from the vertical section to the main content area,Page should not contain any Text web part,Page should contain exactly 1 Text web part,,,,,,,,SharePointPage section vertical,sections/vertical-section-core-tests.json
na,core,Reorder controls in vertical section,Move the People web part to be the first item in the vertical section,web part at first position should be People web part,,,,,,,,,SharePointPage section vertical,sections/vertical-section-core-tests.json
na,core,Add image with caption to vertical section,Add an image to the vertical section with the caption 'Team Photo',Page should contain exactly 1 Image web part,Page should contain exactly 1 Image web part,,,,,,,,SharePointPage section vertical,sections/vertical-section-core-tests.json
na,core,Add Image web part to vertical section,Add an image web part to the vertical section,Page should contain exactly 1 Image web part,,,,,,,,,SharePointPage pr section vertical,sections/vertical-section-pr-tests.json
na,core,Add Quick Links to vertical section,Add a Quick Links web part to the vertical section sidebar on the right side of the page with links to Microsoft and Google,Page should contain exactly 1 Quick Links web part,,,,,,,,,SharePointPage pr section vertical,sections/vertical-section-pr-tests.json
na,core,Move web part from regular section to vertical section,Move the text web part from the main section to the vertical section on the right side of the page,Page should contain exactly 1 Text web part,Page should not contain any Text web part,,,,,,,,SharePointPage pr section vertical,sections/vertical-section-pr-tests.json
na,core,Remove all controls from vertical section,Remove all web parts from the vertical section,Specified column should be empty,,,,,,,,,SharePointPage pr section vertical,sections/vertical-section-pr-tests.json
BannerWebPart,core,Add banner with title and topic header,Add Banner titled 'Project Phoenix' and tag 'Engineering',Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,,,,,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-core-tests.json
BannerWebPart,core,Add banner with fade layout,Add Banner web part with title 'Company Updates' using Fade layout with gradient effect,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,Banner web part should have Fade layout,,,,,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-core-tests.json
BannerWebPart,core,Add banner with full width image layout,Add Banner web part with title 'Innovation Summit 2025' using full width image layout with a background image from stock images,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,Banner web part should have FullWidthImage layout,,,,,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-core-tests.json
BannerWebPart,core,Add banner with no image layout,Add Banner web part with title 'Policy Guidelines' without an image on white background,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,Banner web part should have NoImage layout,,,,,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-core-tests.json
BannerWebPart,core,Add banner with cut in shape layout,Add Banner web part with title 'Design Showcase' using Overlap layout with background image,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,Banner web part should have CutInShape layout,,,,,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-core-tests.json
BannerWebPart,core,Add banner with color block layout,Add Banner web part with title 'Marketing Campaign' using ColorBlock layout with solid color overlay,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,Banner web part should have ColorBlock layout,,,,,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-core-tests.json
BannerWebPart,core,Add banner with multiple authors,Add Banner web part with title 'FIFA World Cup âš½ 2026 Review' and author Antonio Messi (antonio.messi@contoso.com),Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,,,,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-core-tests.json
BannerWebPart,core,Add banner with Fade layout and gradient effect,Add Banner with title 'Product Launch' using Fade layout,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,Banner web part should have Fade layout,,,,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-core-tests.json
BannerWebPart,core,Add banner with all features,"Add Banner web part with title 'Strategic Initiative 2026', topic header 'Business Strategy', author David Rodriguez (david.rodriguez@contoso.com), FullWidthImage layout with background image, and gradient effect enabled",Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,Banner web part should have FullWidthImage layout,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-core-tests.json
BannerWebPart,core,Add page title banner,Add page title Banner with title 'Department Overview' at the top of the page,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,,,,,,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-core-tests.json
BannerWebPart,core,Add banner web part,Add Banner to the page,Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,,,,,,,,SharePointPage pr webpart BannerWebPart,webparts/Banner/banner-pr-tests.json
BannerWebPart,core,Add banner with title,Add Banner web part with title 'Welcome to Our Team Site',Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,,,,,,,,SharePointPage pr webpart BannerWebPart,webparts/Banner/banner-pr-tests.json
BannerWebPart,core,Add banner with author layout,Add Banner web part with title 'Annual Report 2025' using Author layout,Page should contain exactly 1 Banner web part,Banner web part should have Author layout,,,,,,,,SharePointPage pr webpart BannerWebPart,webparts/Banner/banner-pr-tests.json
BannerWebPart,core,Add banner with single author,Add Banner web part with title 'Research Findings' and author Sarah Johnson (sarah.johnson@contoso.com),Page should contain exactly 1 Banner web part,Page should contain exactly 1 Banner web part,,,,,,,,SharePointPage pr webpart BannerWebPart,webparts/Banner/banner-pr-tests.json
BannerWebPart,type1,Change the title,Change the title to Team Updates,Page must contain exactly 1 Banner web part,"The Banner web part title must be set to ""Team Updates""
",,,,,,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-type-1-tests.json
BannerWebPart,type1,Change the image,Change the banner image to a tiger,Page must contain exactly 1 Banner web part,"The Banner web part image must be updated to show a tiger
",,,,,,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-type-1-tests.json
BannerWebPart,type2,Update page name on populated page,"Update the page name to ""Newspost_11142025""",Page should contain exactly 1 Banner web part,,,,,,,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-type-2-tests.json
BannerWebPart,type2,Update page name in selected section,Update the page name to 'Weekly Team Update',Page should contain exactly 1 Banner web part,,,,,,,,,SharePointPage webpart BannerWebPart,webparts/Banner/banner-type-2-tests.json
CallToActionWebPart,core,Add call to action web part,Add Call to Action web part to the page,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,,,,,,,SharePointPage webpart CallToActionWebPart,webparts/CallToAction/calltoaction-core-tests.json
CallToActionWebPart,core,Add call to action with specific button and text,Add Call to Action web part with button text 'Learn More' linking to https://contoso.foo.com/learn and overlay text 'Discover Our New Features',Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,,,,,,SharePointPage webpart CallToActionWebPart,webparts/CallToAction/calltoaction-core-tests.json
CallToActionWebPart,core,Add call to action for event registration,Add Call to Action web part with overlay text 'Join us for the Annual Tech Summit 2025' and button 'Register Now' linking to https://contoso.foo.com/events/summit2025,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,,,,,,SharePointPage webpart CallToActionWebPart,webparts/CallToAction/calltoaction-core-tests.json
CallToActionWebPart,core,Add call to action with background image,Add Call to Action web part with overlay text 'Transform Your Business' and button 'Get Started' linking to https://contoso.foo.com/getstarted. Include a background image from stock images.,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,,,,,SharePointPage webpart CallToActionWebPart,webparts/CallToAction/calltoaction-core-tests.json
CallToActionWebPart,core,Add call to action for product promotion,Add Call to Action web part promoting a new product with text 'Introducing the Next Generation Platform' and button text 'View Demo' pointing to https://contoso.foo.com/demo,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,,,,,,SharePointPage webpart CallToActionWebPart,webparts/CallToAction/calltoaction-core-tests.json
CallToActionWebPart,core,Add call to action with entity reference link,Add Call to Action web part with overlay text 'Read Our Latest Report' and button 'Download Report' linking to document reference '<File>Annual Report 2025</File>',Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,,,,,,SharePointPage webpart CallToActionWebPart,webparts/CallToAction/calltoaction-core-tests.json
CallToActionWebPart,core,Add call to action for contact,Add Call to Action web part with message 'Have Questions? We're Here to Help' and button 'Contact Us' linking to https://contoso.foo.com/contact,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,Page should contain exactly 1 Call To Action web part,,,,,,SharePointPage webpart CallToActionWebPart,webparts/CallToAction/calltoaction-core-tests.json
CountdownWebPart,core,Add countdown web part,Add Countdown web part to the page,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,,,,,,,,SharePointPage webpart CountdownWebPart,webparts/Countdown/countdown-core-tests.json
CountdownWebPart,core,Add countdown with title and date,"Add Countdown 'FIFA World Cup 2098 ðŸ¥…' counting down to April 15, 2098",Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,,,,,,,SharePointPage webpart CountdownWebPart,webparts/Countdown/countdown-core-tests.json
CountdownWebPart,core,Add countdown for conference with description,"Add Countdown for 'Annual Tech Conference 2077' on March 20, 2077 with description 'Join industry leaders for three days of innovation and networking'",Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,,,,,,SharePointPage webpart CountdownWebPart,webparts/Countdown/countdown-core-tests.json
CountdownWebPart,core,Add countdown with button,"Add Countdown web part titled 'Early Bird Registration Ends' counting down to January 31, 2050 with button 'Register Now' linking to https://contoso.foo.com/register",Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,,,,,SharePointPage webpart CountdownWebPart,webparts/Countdown/countdown-core-tests.json
CountdownWebPart,core,Add countdown with background image,"Add Countdown web part titled 'Summer Festival 2060' for July 4, 2060 with description 'Celebrate Independence Day with us' and include a festive background image from stock images",Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,,,,,SharePointPage webpart CountdownWebPart,webparts/Countdown/countdown-core-tests.json
CountdownWebPart,core,Add countdown for product release with all features,"Add Countdown web part titled 'Version 2.0 Release' counting down to February 28, 2094 with description 'Experience the future of productivity' and button 'Learn More' linking to https://contoso.foo.com/v2",Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,,,,SharePointPage webpart CountdownWebPart,webparts/Countdown/countdown-core-tests.json
CountdownWebPart,core,Add countdown for holiday deadline,"Add Countdown web part titled 'Holiday Order Deadline' for December 10, 2099 with description 'Order now to receive by Christmas' and button 'Shop Now' linking to https://contoso.foo.com/shop",Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,,,,SharePointPage webpart CountdownWebPart,webparts/Countdown/countdown-core-tests.json
CountdownWebPart,core,Add countdown with entity reference button,"Add Countdown web part titled 'Webinar Starts Soon' counting down to December 5, 2092 at 2 PM with button 'View Agenda' linking to '<File>Webinar Agenda</File>'",Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,Page should contain exactly 1 Countdown web part,,,,,SharePointPage webpart CountdownWebPart,webparts/Countdown/countdown-core-tests.json
DividerWebPart,core,Add divider web part,Add Divider web part to the page,Page should contain exactly 1 DividerWebPart web part,,,,,,,,,SharePointPage webpart DividerWebPart,webparts/Divider/divider-core-tests.json
DividerWebPart,core,Add thin divider,Add a thin Divider to separate content,Page should contain exactly 1 DividerWebPart web part,Page should contain exactly 1 DividerWebPart web part,,,,,,,,SharePointPage webpart DividerWebPart,webparts/Divider/divider-core-tests.json
DividerWebPart,core,Add thick divider,Add a thick Divider line,Page should contain exactly 1 DividerWebPart web part,Page should contain exactly 1 DividerWebPart web part,,,,,,,,SharePointPage webpart DividerWebPart,webparts/Divider/divider-core-tests.json
DividerWebPart,core,Add full width divider,Add a full-width Divider across the page,Page should contain exactly 1 DividerWebPart web part,Page should contain exactly 1 DividerWebPart web part,,,,,,,,SharePointPage webpart DividerWebPart,webparts/Divider/divider-core-tests.json
DividerWebPart,core,Add short divider,Add a short Divider line at 30% width,Page should contain exactly 1 DividerWebPart web part,Page should contain exactly 1 DividerWebPart web part,,,,,,,,SharePointPage webpart DividerWebPart,webparts/Divider/divider-core-tests.json
DividerWebPart,core,Add medium divider with specific thickness,Add a Divider that is 60% wide with 3 pixel thickness,Page should contain exactly 1 DividerWebPart web part,Page should contain exactly 1 DividerWebPart web part,Page should contain exactly 1 DividerWebPart web part,,,,,,,SharePointPage webpart DividerWebPart,webparts/Divider/divider-core-tests.json
DividerWebPart,core,Add bold divider for strong separation,Add a bold Divider line with 6 pixel weight spanning 80% width,Page should contain exactly 1 DividerWebPart web part,Page should contain exactly 1 DividerWebPart web part,Page should contain exactly 1 DividerWebPart web part,,,,,,,SharePointPage webpart DividerWebPart,webparts/Divider/divider-core-tests.json
DividerWebPart,core,Add subtle divider,Add a subtle Divider with 1 pixel thickness at half width,Page should contain exactly 1 DividerWebPart web part,Page should contain exactly 1 DividerWebPart web part,Page should contain exactly 1 DividerWebPart web part,,,,,,,SharePointPage webpart DividerWebPart,webparts/Divider/divider-core-tests.json
DividerWebPart,core,Add horizontal line separator,Insert a horizontal line to separate the sections,Page should contain exactly 1 DividerWebPart web part,,,,,,,,,SharePointPage webpart DividerWebPart,webparts/Divider/divider-core-tests.json
EventsWebPart,core,Add events web part,Add Events web part to the page,Page should contain exactly 1 Events web part,Events web part should have layout configured,Page should contain exactly 1 Events web part,,,,,,,SharePointPage webpart EventsWebPart,webparts/Events/events-core-tests.json
EventsWebPart,core,Add events with compact layout,Add Events web part with compact layout showing upcoming events,Page should contain exactly 1 Events web part,Events web part should have Compact layout,Page should contain exactly 1 Events web part,,,,,,,SharePointPage webpart EventsWebPart,webparts/Events/events-core-tests.json
EventsWebPart,core,Add events with filmstrip layout,Add Events web part with filmstrip layout displaying upcoming events,Page should contain exactly 1 Events web part,Events web part should have Filmstrip layout,Page should contain exactly 1 Events web part,,,,,,,SharePointPage webpart EventsWebPart,webparts/Events/events-core-tests.json
EventsWebPart,core,Add events with title,Add Events web part titled 'Team Events' showing upcoming events in compact layout,Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Events web part should have Compact layout,Page should contain exactly 1 Events web part,,,,,,SharePointPage webpart EventsWebPart,webparts/Events/events-core-tests.json
EventsWebPart,core,Add events for this week,Add Events web part showing events for this week in filmstrip layout,Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Events web part should have Filmstrip layout,,,,,,,SharePointPage webpart EventsWebPart,webparts/Events/events-core-tests.json
EventsWebPart,core,Add events for next two weeks,Add Events web part titled 'Upcoming Meetings' displaying events for the next 2 weeks in compact layout,Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Events web part should have Compact layout,,,,,,SharePointPage webpart EventsWebPart,webparts/Events/events-core-tests.json
EventsWebPart,core,Add events for this month,Add Events web part showing all events this month in filmstrip layout,Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Events web part should have Filmstrip layout,,,,,,,SharePointPage webpart EventsWebPart,webparts/Events/events-core-tests.json
